Item,Date,Qty.,Total (₹),
Fried Piece Chicken Biryani (Regular),2018-05-12,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2018-05-13,42.00,8190.00,
Fried Piece Chicken Biryani (Regular),2018-05-14,3.00,585.00,
Fried Piece Chicken Biryani (Regular),2018-05-15,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-05-16,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-05-17,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-05-18,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-05-19,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-05-20,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2018-05-21,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-05-22,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-05-23,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2018-05-24,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-05-25,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2018-05-26,19.00,3705.00,
Fried Piece Chicken Biryani (Regular),2018-05-27,33.00,6435.00,
Fried Piece Chicken Biryani (Regular),2018-05-28,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-05-29,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-05-30,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-05-31,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-06-01,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2018-06-02,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-06-03,33.00,6435.00,
Fried Piece Chicken Biryani (Regular),2018-06-04,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-06-05,3.00,585.00,
Fried Piece Chicken Biryani (Regular),2018-06-06,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-06-07,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-06-08,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2018-06-09,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2018-06-10,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-06-11,4.00,780.00,
Fried Piece Chicken Biryani (Regular),2018-06-12,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-06-13,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-06-14,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-06-15,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-06-16,25.00,4875.00,
Fried Piece Chicken Biryani (Regular),2018-06-17,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-06-18,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-06-19,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-06-20,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-06-21,6.00,1170.00,
Fried Piece Chicken Biryani (Regular),2018-06-22,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-06-23,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-06-24,35.00,6825.00,
Fried Piece Chicken Biryani (Regular),2018-06-25,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-06-26,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-06-27,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-06-28,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-06-29,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-06-30,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2018-07-01,38.00,7410.00,
Fried Piece Chicken Biryani (Regular),2018-07-02,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-07-03,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-07-04,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-07-05,6.00,1170.00,
Fried Piece Chicken Biryani (Regular),2018-07-06,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-07-07,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-07-08,29.00,5655.00,
Fried Piece Chicken Biryani (Regular),2018-07-09,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-07-10,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-07-11,2.00,390.00,
Fried Piece Chicken Biryani (Regular),2018-07-12,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-07-13,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-07-14,6.00,1170.00,
Fried Piece Chicken Biryani (Regular),2018-07-15,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-07-16,5.00,975.00,
Fried Piece Chicken Biryani (Regular),2018-07-17,7.00,1365.00,
Fried Piece Chicken Biryani (Regular),2018-07-18,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2018-07-19,5.00,975.00,
Fried Piece Chicken Biryani (Regular),2018-07-20,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-07-21,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-07-22,25.00,4875.00,
Fried Piece Chicken Biryani (Regular),2018-07-23,5.00,975.00,
Fried Piece Chicken Biryani (Regular),2018-07-24,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-07-25,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-07-26,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-07-27,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-07-28,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-07-29,31.00,6045.00,
Fried Piece Chicken Biryani (Regular),2018-07-30,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-07-31,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-08-01,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-08-02,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-08-03,7.00,1365.00,
Fried Piece Chicken Biryani (Regular),2018-08-04,22.00,4290.00,
Fried Piece Chicken Biryani (Regular),2018-08-05,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2018-08-06,6.00,1170.00,
Fried Piece Chicken Biryani (Regular),2018-08-07,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-08-08,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-08-09,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-08-10,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-08-11,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-08-12,39.00,7605.00,
Fried Piece Chicken Biryani (Regular),2018-08-13,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-08-14,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-08-15,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-08-16,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-08-17,4.00,780.00,
Fried Piece Chicken Biryani (Regular),2018-08-18,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-08-19,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2018-08-20,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-08-21,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-08-22,22.00,4290.00,
Fried Piece Chicken Biryani (Regular),2018-08-23,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-08-24,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-08-25,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2018-08-26,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-08-27,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-08-28,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-08-29,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-08-30,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-08-31,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-09-01,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2018-09-02,36.00,7020.00,
Fried Piece Chicken Biryani (Regular),2018-09-03,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-09-04,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-09-05,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-09-06,4.00,780.00,
Fried Piece Chicken Biryani (Regular),2018-09-07,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-09-08,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-09-09,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2018-09-10,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-09-11,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-09-12,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-09-13,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-09-14,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-09-15,23.00,4485.00,
Fried Piece Chicken Biryani (Regular),2018-09-16,32.00,6240.00,
Fried Piece Chicken Biryani (Regular),2018-09-17,7.00,1365.00,
Fried Piece Chicken Biryani (Regular),2018-09-18,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2018-09-19,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-09-20,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-09-21,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-09-22,22.00,4290.00,
Fried Piece Chicken Biryani (Regular),2018-09-23,29.00,5655.00,
Fried Piece Chicken Biryani (Regular),2018-09-24,6.00,1170.00,
Fried Piece Chicken Biryani (Regular),2018-09-25,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-09-26,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-09-27,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-09-28,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-09-29,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-09-30,33.00,6435.00,
Fried Piece Chicken Biryani (Regular),2018-10-01,1.00,195.00,
Fried Piece Chicken Biryani (Regular),2018-10-02,25.00,4875.00,
Fried Piece Chicken Biryani (Regular),2018-10-03,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-10-04,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-10-05,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2018-10-06,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-10-07,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2018-10-08,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-10-09,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-10-10,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-10-11,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-10-12,19.00,3705.00,
Fried Piece Chicken Biryani (Regular),2018-10-13,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-10-14,22.00,4290.00,
Fried Piece Chicken Biryani (Regular),2018-10-15,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-10-16,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-10-17,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-10-18,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-10-19,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-10-20,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-10-21,22.00,4290.00,
Fried Piece Chicken Biryani (Regular),2018-10-22,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-10-23,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-10-24,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-10-25,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2018-10-26,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-10-27,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-10-28,33.00,6435.00,
Fried Piece Chicken Biryani (Regular),2018-10-29,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-10-30,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-10-31,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-11-01,25.00,4875.00,
Fried Piece Chicken Biryani (Regular),2018-11-02,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-11-03,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-11-04,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2018-11-05,6.00,1170.00,
Fried Piece Chicken Biryani (Regular),2018-11-06,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2018-11-07,23.00,4485.00,
Fried Piece Chicken Biryani (Regular),2018-11-08,22.00,4290.00,
Fried Piece Chicken Biryani (Regular),2018-11-09,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-11-10,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-11-11,40.00,7800.00,
Fried Piece Chicken Biryani (Regular),2018-11-12,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-11-13,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-11-14,23.00,4485.00,
Fried Piece Chicken Biryani (Regular),2018-11-15,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-11-16,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-11-17,30.00,5850.00,
Fried Piece Chicken Biryani (Regular),2018-11-18,31.00,6045.00,
Fried Piece Chicken Biryani (Regular),2018-11-19,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-11-20,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-11-21,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-11-22,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-11-23,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-11-24,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2018-11-25,36.00,7020.00,
Fried Piece Chicken Biryani (Regular),2018-11-26,23.00,4485.00,
Fried Piece Chicken Biryani (Regular),2018-11-27,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2018-11-28,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2018-11-29,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2018-11-30,29.00,5655.00,
Fried Piece Chicken Biryani (Regular),2018-12-01,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-12-02,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2018-12-03,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-12-04,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-12-05,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2018-12-06,3.00,585.00,
Fried Piece Chicken Biryani (Regular),2018-12-07,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-12-08,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2018-12-09,34.00,6630.00,
Fried Piece Chicken Biryani (Regular),2018-12-10,5.00,975.00,
Fried Piece Chicken Biryani (Regular),2018-12-11,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-12-12,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-12-13,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-12-14,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-12-15,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-12-16,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2018-12-17,4.00,780.00,
Fried Piece Chicken Biryani (Regular),2018-12-18,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-12-19,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-12-20,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2018-12-21,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2018-12-22,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2018-12-23,22.00,4290.00,
Fried Piece Chicken Biryani (Regular),2018-12-24,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2018-12-25,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-12-26,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2018-12-27,5.00,975.00,
Fried Piece Chicken Biryani (Regular),2018-12-28,7.00,1365.00,
Fried Piece Chicken Biryani (Regular),2018-12-29,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2018-12-30,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2018-12-31,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2019-01-01,31.00,6045.00,
Fried Piece Chicken Biryani (Regular),2019-01-02,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-01-03,7.00,1365.00,
Fried Piece Chicken Biryani (Regular),2019-01-04,6.00,1170.00,
Fried Piece Chicken Biryani (Regular),2019-01-05,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2019-01-06,32.00,6240.00,
Fried Piece Chicken Biryani (Regular),2019-01-07,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2019-01-08,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2019-01-09,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2019-01-10,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2019-01-11,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2019-01-12,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2019-01-13,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2019-01-14,7.00,1365.00,
Fried Piece Chicken Biryani (Regular),2019-01-15,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2019-01-16,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2019-01-17,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2019-01-18,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2019-01-19,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2019-01-20,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2019-01-21,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2019-01-22,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2019-01-23,7.00,1365.00,
Fried Piece Chicken Biryani (Regular),2019-01-24,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2019-01-25,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2019-01-26,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2019-01-27,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2019-01-28,10.00,1950.00,
Fried Piece Chicken Biryani (Regular),2019-01-29,8.00,1560.00,
Fried Piece Chicken Biryani (Regular),2019-01-30,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2019-01-31,14.00,2730.00,
Fried Piece Chicken Biryani (Regular),2019-02-01,23.00,4485.00,
Fried Piece Chicken Biryani (Regular),2019-02-02,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2019-02-03,29.00,5655.00,
Fried Piece Chicken Biryani (Regular),2019-02-04,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2019-02-05,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2019-02-06,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-02-07,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2019-02-08,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2019-02-09,19.00,3705.00,
Fried Piece Chicken Biryani (Regular),2019-02-10,33.00,6435.00,
Fried Piece Chicken Biryani (Regular),2019-02-11,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2019-02-12,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-02-13,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2019-02-14,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-02-15,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2019-02-16,29.00,5655.00,
Fried Piece Chicken Biryani (Regular),2019-02-17,41.00,7995.00,
Fried Piece Chicken Biryani (Regular),2019-02-18,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2019-02-19,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2019-02-20,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2019-02-21,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2019-02-22,15.00,2925.00,
Fried Piece Chicken Biryani (Regular),2019-02-23,31.00,6045.00,
Fried Piece Chicken Biryani (Regular),2019-02-24,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2019-02-25,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2019-02-26,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-02-27,19.00,3705.00,
Fried Piece Chicken Biryani (Regular),2019-02-28,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2019-03-01,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2019-03-02,12.00,2340.00,
Fried Piece Chicken Biryani (Regular),2019-03-03,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2019-03-04,11.00,2145.00,
Fried Piece Chicken Biryani (Regular),2019-03-05,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2019-03-06,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2019-03-07,13.00,2535.00,
Fried Piece Chicken Biryani (Regular),2019-03-08,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-03-09,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-03-10,23.00,4485.00,
Fried Piece Chicken Biryani (Regular),2019-03-11,4.00,780.00,
Fried Piece Chicken Biryani (Regular),2019-03-12,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2019-03-13,17.00,3315.00,
Fried Piece Chicken Biryani (Regular),2019-03-14,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2019-03-15,16.00,3120.00,
Fried Piece Chicken Biryani (Regular),2019-03-16,19.00,3705.00,
Fried Piece Chicken Biryani (Regular),2019-03-17,36.00,7020.00,
Fried Piece Chicken Biryani (Regular),2019-03-18,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2019-03-19,30.00,5850.00,
Fried Piece Chicken Biryani (Regular),2019-03-20,33.00,6435.00,
Fried Piece Chicken Biryani (Regular),2019-03-21,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2019-03-22,40.00,7800.00,
Fried Piece Chicken Biryani (Regular),2019-03-23,34.00,6630.00,
Fried Piece Chicken Biryani (Regular),2019-03-24,47.00,9165.00,
Fried Piece Chicken Biryani (Regular),2019-03-25,19.00,3705.00,
Fried Piece Chicken Biryani (Regular),2019-03-26,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2019-03-27,21.00,4095.00,
Fried Piece Chicken Biryani (Regular),2019-03-28,35.00,6825.00,
Fried Piece Chicken Biryani (Regular),2019-03-29,59.00,11505.00,
Fried Piece Chicken Biryani (Regular),2019-03-30,48.00,9360.00,
Fried Piece Chicken Biryani (Regular),2019-03-31,46.00,8970.00,
Fried Piece Chicken Biryani (Regular),2019-04-01,24.00,4680.00,
Fried Piece Chicken Biryani (Regular),2019-04-02,43.00,8385.00,
Fried Piece Chicken Biryani (Regular),2019-04-03,36.00,7020.00,
Fried Piece Chicken Biryani (Regular),2019-04-04,29.00,5655.00,
Fried Piece Chicken Biryani (Regular),2019-04-05,58.00,11310.00,
Fried Piece Chicken Biryani (Regular),2019-04-06,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2019-04-07,44.00,8580.00,
Fried Piece Chicken Biryani (Regular),2019-04-08,9.00,1755.00,
Fried Piece Chicken Biryani (Regular),2019-04-09,36.00,7020.00,
Fried Piece Chicken Biryani (Regular),2019-04-10,39.00,7605.00,
Fried Piece Chicken Biryani (Regular),2019-04-11,25.00,4875.00,
Fried Piece Chicken Biryani (Regular),2019-04-12,38.00,7410.00,
Fried Piece Chicken Biryani (Regular),2019-04-13,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2019-04-14,46.00,8970.00,
Fried Piece Chicken Biryani (Regular),2019-04-15,30.00,5850.00,
Fried Piece Chicken Biryani (Regular),2019-04-16,32.00,6240.00,
Fried Piece Chicken Biryani (Regular),2019-04-17,38.00,7410.00,
Fried Piece Chicken Biryani (Regular),2019-04-18,30.00,5850.00,
Fried Piece Chicken Biryani (Regular),2019-04-19,35.00,6825.00,
Fried Piece Chicken Biryani (Regular),2019-04-20,46.00,8970.00,
Fried Piece Chicken Biryani (Regular),2019-04-21,45.00,8775.00,
Fried Piece Chicken Biryani (Regular),2019-04-22,26.00,5070.00,
Fried Piece Chicken Biryani (Regular),2019-04-23,52.00,10140.00,
Fried Piece Chicken Biryani (Regular),2019-04-24,41.00,7995.00,
Fried Piece Chicken Biryani (Regular),2019-04-25,35.00,6825.00,
Fried Piece Chicken Biryani (Regular),2019-04-26,30.00,5850.00,
Fried Piece Chicken Biryani (Regular),2019-04-27,58.00,11310.00,
Fried Piece Chicken Biryani (Regular),2019-04-28,46.00,8970.00,
Fried Piece Chicken Biryani (Regular),2019-04-29,35.00,6825.00,
Fried Piece Chicken Biryani (Regular),2019-04-30,31.00,6045.00,
Fried Piece Chicken Biryani (Regular),2019-05-01,64.00,12480.00,
Fried Piece Chicken Biryani (Regular),2019-05-02,36.00,7020.00,
Fried Piece Chicken Biryani (Regular),2019-05-03,64.00,12480.00,
Fried Piece Chicken Biryani (Regular),2019-05-04,45.00,8775.00,
Fried Piece Chicken Biryani (Regular),2019-05-05,48.00,9360.00,
Fried Piece Chicken Biryani (Regular),2019-05-06,40.00,7800.00,
Fried Piece Chicken Biryani (Regular),2019-05-07,30.00,5850.00,
Fried Piece Chicken Biryani (Regular),2019-05-08,48.00,9360.00,
Fried Piece Chicken Biryani (Regular),2019-05-09,35.00,6825.00,
Fried Piece Chicken Biryani (Regular),2019-05-10,67.00,13065.00,
Fried Piece Chicken Biryani (Regular),2019-05-11,44.00,8580.00,
Fried Piece Chicken Biryani (Regular),2019-05-12,80.00,15600.00,
Fried Piece Chicken Biryani (Regular),2019-05-13,27.00,5265.00,
Fried Piece Chicken Biryani (Regular),2019-05-14,36.00,7020.00,
Fried Piece Chicken Biryani (Regular),2019-05-15,33.00,6435.00,
Fried Piece Chicken Biryani (Regular),2019-05-16,41.00,7995.00,
Fried Piece Chicken Biryani (Regular),2019-05-17,38.00,7410.00,
Fried Piece Chicken Biryani (Regular),2019-05-18,57.00,11115.00,
Fried Piece Chicken Biryani (Regular),2019-05-19,47.00,9165.00,
Fried Piece Chicken Biryani (Regular),2019-05-20,39.00,7605.00,
Fried Piece Chicken Biryani (Regular),2019-05-21,34.00,6630.00,
Fried Piece Chicken Biryani (Regular),2019-05-22,37.00,7215.00,
Fried Piece Chicken Biryani (Regular),2019-05-23,18.00,3510.00,
Fried Piece Chicken Biryani (Regular),2019-05-24,40.00,7800.00,
Fried Piece Chicken Biryani (Regular),2019-05-25,40.00,7800.00,
Fried Piece Chicken Biryani (Regular),2019-05-26,52.00,10140.00,
Fried Piece Chicken Biryani (Regular),2019-05-27,40.00,7800.00,
Fried Piece Chicken Biryani (Regular),2019-05-28,28.00,5460.00,
Fried Piece Chicken Biryani (Regular),2019-05-29,30.00,5850.00,
Fried Piece Chicken Biryani (Regular),2019-05-30,20.00,3900.00,
Fried Piece Chicken Biryani (Regular),2019-05-31,43.00,8385.00,
